gene_name,Bcells replicate 1 half_life,Bcells replicate 1 dataQual,Bcells replicate 1 R_sq,Bcells replicate 2 half_life,Bcells replicate 2 dataQual,Bcells replicate 2 R_sq,NK cells replicate 1 half_life,NK cells replicate 1 dataQual,NK cells replicate 1 R_sq,NK cells replicate 2 half_life,NK cells replicate 2 dataQual,NK cells replicate 2 R_sq,Hepatocytes replicate 1 half_life,Hepatocytes replicate 1 dataQual,Hepatocytes replicate 1 R_sq,Hepatocytes replicate 2 half_life,Hepatocytes replicate 2 dataQual,Hepatocytes replicate 2 R_sq,Monocytes replicate 1 half_life,Monocytes replicate 1 dataQual,Monocytes replicate 1 R_sq,Monocytes replicate 2 half_life,Monocytes replicate 2 dataQual,Monocytes replicate 2 R_sq,"Mouse Neurons, replicate 3 half_life","Mouse Neurons, replicate 3 dataQual","Mouse Neurons, replicate 3 R_sq","Mouse Neurons, replicate 4 half_life","Mouse Neurons, replicate 4 dataQual","Mouse Neurons, replicate 4 R_sq",Length
AASS,,,,,,,,,,,,,180.266,good,0.981,188.477,good,0.986,,,,,,,,,,,,,926
AATF,45.001999999999995,weak,0.9890000000000001,47.268,good,0.993,24.371,weak,0.847,,,,37.516,weak,0.998,37.344,good,0.988,21.712,weak,0.9540000000000001,,,,42.885,weak,0.982,43.29600000000001,good,0.99,560
ABAT,290.961,weak,0.932,253.696,weak,0.998,245.396,weak,0.9279999999999999,,,,217.87099999999998,good,0.977,269.775,good,0.992,,,,,,,65.749,good,0.998,82.79799999999999,good,1.0,500
ABCB1,43.15,weak,0.955,56.669,good,0.972,67.02600000000001,good,0.963,66.54,good,0.9840000000000001,43.343999999999994,good,0.998,39.466,good,0.9990000000000001,,,,,,,,,,,,,1280
ABCB10,,,,,,,,,,,,,284.659,good,0.982,220.18200000000002,good,0.9640000000000001,,,,,,,,,,,,,738
ABCB7,226.713,good,0.9790000000000001,224.951,good,0.9840000000000001,374.708,weak,0.93,,,,167.928,good,0.995,160.946,good,0.993,140.636,good,0.978,81.797,good,0.9359999999999999,83.18299999999999,good,0.998,87.859,good,0.9940000000000001,752
ABCB8,61.066,weak,0.937,88.916,weak,0.973,,,,,,,,,,,,,222.97299999999998,weak,0.892,91.861,weak,0.9329999999999999,70.709,weak,0.99,96.992,good,0.996,735
ABCC1,57.352,weak,0.9740000000000001,55.854,good,0.97,212.46099999999998,good,0.9570000000000001,95.249,good,0.867,92.561,weak,0.904,42.652,weak,0.983,48.771,good,0.975,38.025999999999996,good,0.981,,,,72.186,weak,0.912,1531
ABCC4,,,,,,,,,,,,,,,,,,,144.56,weak,0.99,,,,,,,52.56100000000001,weak,0.941,1325
ABCD1,,,,,,,180.074,weak,0.9329999999999999,,,,63.403999999999996,good,0.948,53.108000000000004,weak,0.9940000000000001,62.313,good,0.9990000000000001,51.751999999999995,weak,0.99,,,,60.875,weak,0.9690000000000001,745
ABCD3,,,,87.25399999999999,weak,0.9129999999999999,,,,125.01899999999999,weak,0.995,109.943,good,0.996,114.464,good,0.9990000000000001,111.175,weak,0.996,76.358,good,0.981,51.928999999999995,good,0.998,64.464,good,0.9990000000000001,659
ABCE1,61.827,good,0.978,73.78699999999999,good,0.9990000000000001,,,,217.144,good,0.998,168.459,weak,0.99,157.738,good,0.938,68.516,good,0.991,47.262,good,0.995,40.316,good,0.9990000000000001,43.144,good,1.0,599
ABCF1,65.675,good,0.982,72.851,good,0.998,176.977,good,0.998,154.15200000000002,good,0.9990000000000001,58.909,good,0.992,59.94,good,0.9840000000000001,67.367,good,0.9890000000000001,57.68600000000001,good,0.992,29.881999999999998,good,0.995,34.436,good,0.992,845
ABCF2,24.671999999999997,good,0.988,29.318,weak,1.0,76.435,weak,0.929,32.066,weak,0.917,33.395,weak,0.992,36.656,weak,0.9940000000000001,50.123999999999995,weak,0.976,42.74100000000001,good,0.983,25.608,good,0.998,28.057,good,0.996,623
ABCF3,27.851,good,0.9840000000000001,33.26,good,0.998,76.68,good,0.9990000000000001,60.788000000000004,good,1.0,140.62,weak,0.9790000000000001,229.56,weak,0.858,39.125,good,0.99,32.82,good,0.9940000000000001,31.12,weak,0.998,38.118,good,0.983,709
ABHD10,457.343,weak,0.88,709.035,good,0.99,733.3589999999999,weak,0.866,,,,267.10900000000004,good,0.993,263.584,good,0.983,356.778,weak,0.934,240.459,weak,0.958,109.789,good,0.987,109.721,good,0.9890000000000001,306
ABHD11,,,,361.306,weak,0.9109999999999999,,,,403.712,weak,0.871,,,,,,,230.093,weak,0.9420000000000001,,,,,,,112.275,good,0.996,315
ABHD12,,,,93.81200000000001,weak,0.997,,,,,,,64.97,good,0.956,94.427,good,0.9490000000000001,24.195,weak,0.996,19.808,good,0.99,67.074,weak,0.9790000000000001,68.863,good,0.99,398
ABHD14B,224.763,good,0.9840000000000001,291.97900000000004,weak,0.9740000000000001,510.04900000000004,weak,0.9790000000000001,456.56300000000005,weak,0.973,,,,,,,248.21400000000003,good,0.93,184.203,good,0.9640000000000001,,,,154.417,weak,0.951,210
ABHD16A,108.79700000000001,weak,0.993,139.15200000000002,weak,0.938,,,,160.792,weak,0.888,,,,188.3,good,0.981,112.227,good,0.978,73.294,good,0.978,41.315,good,0.991,52.976000000000006,good,0.993,558
ABHD6,,,,56.181000000000004,weak,0.9740000000000001,,,,,,,55.187,good,0.995,56.201,good,0.997,,,,,,,33.488,good,0.9990000000000001,39.472,good,0.998,337
ABI1,123.833,weak,0.975,150.247,weak,0.998,245.13299999999998,weak,0.995,144.575,good,0.995,121.728,good,0.981,129.797,weak,0.9790000000000001,114.105,weak,0.9740000000000001,107.046,weak,0.996,,,,72.065,good,0.9890000000000001,508
ABI3,139.109,weak,0.973,162.27100000000002,good,0.889,241.592,good,0.937,239.65200000000002,good,0.971,,,,,,,27.649,good,0.982,22.084,weak,0.9840000000000001,,,,,,,366
ABL2,,,,,,,,,,,,,,,,,,,,,,,,,44.013000000000005,good,0.987,51.247,good,0.968,1182
ABLIM1,50.217,weak,0.998,48.503,weak,0.975,61.977,weak,0.998,,,,,,,38.792,good,0.9890000000000001,,,,,,,35.7,weak,0.978,39.089,good,0.997,778
ABR,43.556999999999995,weak,0.973,,,,200.83,weak,0.907,153.619,weak,0.903,,,,,,,32.768,weak,0.9940000000000001,32.188,good,0.996,28.253,good,0.997,30.978,good,1.0,859
ABRACL,268.634,weak,0.868,238.03900000000002,weak,0.9740000000000001,624.294,weak,0.9990000000000001,584.607,weak,0.996,,,,,,,253.49900000000002,weak,0.903,172.245,weak,0.9990000000000001,188.229,weak,0.89,,,,81
ABT1,41.476000000000006,weak,0.985,37.379,weak,0.996,40.303000000000004,weak,0.991,43.543,weak,0.961,,,,24.666999999999998,weak,0.9059999999999999,,,,,,,,,,,,,272
ACAA1,92.90700000000001,weak,0.9690000000000001,,,,,,,169.805,weak,0.973,184.618,good,0.99,202.805,good,0.996,180.679,good,0.971,133.273,weak,0.917,,,,,,,424
ACAA2,436.01300000000003,good,0.9690000000000001,493.29900000000004,good,0.997,,,,1269.4569999999999,good,0.985,214.518,good,0.98,236.37599999999998,good,0.9790000000000001,168.37400000000002,good,0.973,112.694,good,0.9309999999999999,92.009,good,0.9990000000000001,117.411,good,0.997,397
ACACA,,,,37.441,weak,0.993,,,,,,,41.907,good,0.992,47.59,good,0.98,,,,38.902,weak,0.9159999999999999,50.846000000000004,good,0.9990000000000001,62.526,good,1.0,2346
ACAD8,347.289,weak,0.9840000000000001,,,,,,,,,,111.536,good,0.9390000000000001,137.761,good,0.943,181.722,weak,0.978,,,,97.619,good,0.998,113.895,good,0.995,415
ACAD9,100.023,good,0.8740000000000001,117.277,good,0.985,,,,,,,86.818,good,1.0,83.93700000000001,good,0.997,,,,,,,122.889,good,0.9990000000000001,140.561,good,0.997,621
ACADM,105.294,good,0.9420000000000001,125.414,good,0.9790000000000001,372.289,weak,0.871,293.897,weak,0.9740000000000001,227.889,good,0.9940000000000001,268.58299999999997,good,1.0,196.002,good,0.963,150.567,good,0.924,87.19,good,0.9990000000000001,109.124,good,0.998,421
ACADS,246.324,weak,0.932,,,,,,,,,,167.051,good,0.993,225.25599999999997,good,0.997,190.87400000000002,good,0.9159999999999999,130.141,weak,0.9490000000000001,,,,253.72799999999998,good,0.89,412
ACADSB,103.322,weak,0.914,,,,,,,,,,336.48,good,0.978,458.18300000000005,good,0.998,,,,146.339,weak,0.855,67.21,good,0.9990000000000001,76.9,good,1.0,432
ACADVL,73.025,good,0.976,100.946,good,0.998,346.01,good,0.996,304.222,good,0.998,59.918,good,0.9990000000000001,62.643,good,0.997,75.64,good,0.981,61.658,good,0.985,52.193000000000005,good,0.9990000000000001,63.522,good,0.9940000000000001,655
ACAP1,121.854,good,0.9740000000000001,159.054,good,0.992,,,,260.05400000000003,good,0.991,,,,,,,244.95,good,0.935,,,,,,,,,,740
ACAP2,111.005,good,0.9890000000000001,126.911,good,0.9990000000000001,211.185,good,0.995,162.722,good,0.992,,,,,,,100.639,good,0.9940000000000001,82.45100000000001,good,0.988,,,,43.126000000000005,good,0.9990000000000001,778
ACAT1,277.538,good,0.9420000000000001,339.32199999999995,good,0.985,744.7130000000001,weak,0.919,910.721,good,0.965,319.763,good,0.99,344.86800000000005,good,0.997,,,,,,,79.684,good,0.998,96.75399999999999,good,0.998,427
ACAT2,62.946999999999996,good,0.977,97.331,good,0.991,,,,,,,317.726,weak,0.99,,,,287.21,weak,0.963,,,,78.57600000000001,good,0.997,98.20200000000001,good,0.9990000000000001,522
ACAT2,62.946999999999996,good,0.977,97.331,good,0.991,,,,,,,317.726,weak,0.99,,,,287.21,weak,0.963,,,,78.57600000000001,good,0.997,98.20200000000001,good,0.9990000000000001,397
ACBD3,60.461999999999996,weak,0.9620000000000001,67.477,weak,0.995,131.139,weak,0.932,,,,56.663999999999994,weak,0.986,53.453,weak,0.996,49.876999999999995,good,0.988,42.443999999999996,weak,0.997,56.106,good,0.997,64.157,good,1.0,528
ACBD5,,,,,,,,,,,,,49.956,good,0.997,49.833999999999996,good,0.996,36.06,weak,0.929,,,,36.271,good,0.977,57.001999999999995,good,0.996,534
ACBD6,23.603,weak,0.987,,,,,,,,,,,,,,,,26.464000000000002,weak,0.9890000000000001,,,,28.726999999999997,good,1.0,35.008,good,0.9990000000000001,282
ACIN1,125.277,good,0.993,126.64,good,0.99,306.30400000000003,good,0.993,233.59099999999998,good,0.993,31.295,good,1.0,31.189,good,0.9990000000000001,72.727,good,0.99,66.509,good,0.995,54.321000000000005,good,0.9990000000000001,59.718999999999994,good,0.9990000000000001,1341
ACLY,111.344,good,0.985,136.496,good,0.997,293.08299999999997,good,0.9990000000000001,190.40099999999998,good,1.0,86.12299999999999,good,0.992,99.227,good,0.968,134.22899999999998,good,0.988,110.884,good,0.987,50.223,good,1.0,59.413000000000004,good,1.0,1101
ACN9,,,,,,,,,,,,,55.963,weak,0.941,,,,,,,,,,,,,,,,125
ACO1,135.946,good,0.986,202.86900000000003,good,0.9990000000000001,,,,387.361,weak,0.995,772.549,good,0.977,,,,124.09200000000001,good,0.975,108.824,good,0.991,59.086999999999996,good,0.998,74.94,good,0.9990000000000001,889
ACO2,229.865,good,0.961,274.45099999999996,good,0.99,,,,,,,66.78,good,1.0,70.303,good,0.996,117.126,good,0.991,82.494,good,0.9840000000000001,87.734,good,0.9990000000000001,101.387,good,0.9990000000000001,780
ACOT11,,,,,,,,,,,,,,,,,,,51.717,weak,0.981,40.536,weak,0.997,,,,,,,607
ACOT13,,,,452.408,good,1.0,,,,597.719,weak,0.878,403.716,good,0.996,388.931,good,0.948,,,,,,,49.373000000000005,weak,0.995,63.11600000000001,good,0.995,140
ACOT7,,,,24.627,weak,1.0,,,,,,,,,,,,,,,,,,,44.00899999999999,good,0.996,52.383,good,0.998,380
ACOT8,,,,,,,,,,,,,93.161,weak,0.987,98.575,weak,0.9990000000000001,,,,,,,66.875,weak,0.995,79.707,good,0.988,319
ACOT9,135.507,good,0.985,172.293,good,0.985,501.353,weak,0.997,368.983,weak,0.998,73.84100000000001,good,0.998,72.153,good,1.0,,,,71.009,good,0.982,74.484,weak,0.995,94.478,good,0.9990000000000001,439
ACOX3,53.482,weak,0.9640000000000001,80.35300000000001,weak,0.89,,,,,,,55.206,good,0.996,53.047,good,0.9940000000000001,137.376,good,0.92,111.177,good,0.99,,,,73.891,weak,0.9890000000000001,700
ACP1,90.243,weak,0.8540000000000001,152.101,good,1.0,408.092,weak,1.0,367.336,weak,0.997,,,,,,,105.679,weak,0.9309999999999999,106.786,weak,0.9890000000000001,82.885,good,0.9990000000000001,105.71700000000001,good,0.995,158
ACP5,,,,19.532,weak,0.965,,,,18.48,weak,1.0,,,,,,,12.583,weak,0.934,11.638,weak,0.945,,,,,,,325
ACP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.12200000000001,weak,0.996,428
ACSF2,265.697,weak,0.9129999999999999,,,,,,,,,,68.967,good,0.998,73.828,good,0.9990000000000001,206.255,weak,0.93,134.155,weak,0.935,91.823,good,0.9940000000000001,146.335,good,0.995,615
ACSF3,159.011,good,0.985,131.946,good,0.9840000000000001,292.881,good,0.99,269.215,good,0.938,203.607,good,0.982,155.929,good,1.0,109.365,good,0.975,117.59200000000001,weak,0.981,68.955,good,0.9790000000000001,74.82300000000001,good,0.9229999999999999,576
ACSL1,32.345,weak,0.995,47.841,good,0.996,,,,123.26,good,0.938,82.613,good,0.99,93.85,good,1.0,71.851,good,0.9690000000000001,56.43899999999999,good,0.966,35.472,good,0.9990000000000001,42.526,good,0.9990000000000001,698
ACSL3,82.029,weak,0.966,88.35,weak,0.992,,,,135.463,weak,0.996,52.968,good,0.9940000000000001,51.395,good,0.997,67.73899999999999,weak,0.9890000000000001,53.755,good,0.987,25.427,good,1.0,29.835,good,0.9990000000000001,720
ACSL4,27.278000000000002,good,0.988,30.979,good,0.9990000000000001,,,,97.565,weak,0.966,14.295,good,0.955,14.390999999999998,good,0.9490000000000001,36.666,good,0.977,29.315,good,0.987,20.553,good,0.99,22.006,good,0.998,711
ACSL5,,,,81.631,weak,0.9059999999999999,161.454,weak,0.938,,,,74.14399999999999,good,0.991,78.578,good,0.965,116.679,weak,0.98,49.236000000000004,good,0.9129999999999999,,,,,,,683
ACSS1,235.071,good,0.98,219.55900000000003,weak,0.996,266.216,good,0.96,,,,,,,,,,,,,93.419,weak,0.866,83.512,good,0.9890000000000001,181.533,good,0.985,689
ACTB,237.533,weak,0.988,241.678,weak,0.983,809.352,weak,0.9279999999999999,987.216,weak,0.975,57.173,good,0.991,52.56100000000001,good,0.988,,,,160.88299999999998,good,0.976,,,,,,,375
ACTBL2,,,,,,,,,,,,,,,,,,,,,,,,,62.496,weak,0.9690000000000001,86.696,good,0.9990000000000001,376
ACTG1,,,,211.49200000000002,good,0.9840000000000001,,,,,,,74.727,good,0.9890000000000001,,,,,,,160.614,good,0.9540000000000001,55.81399999999999,good,0.9940000000000001,74.65100000000001,weak,1.0,375
ACTL6A,153.754,weak,0.978,174.425,good,0.997,,,,463.67400000000004,weak,0.993,,,,134.822,weak,0.9159999999999999,134.264,good,0.986,,,,109.54,good,0.991,159.405,good,0.998,429
ACTN1,568.605,good,0.9079999999999999,429.85900000000004,good,0.858,842.102,good,0.996,579.999,good,0.997,86.684,good,0.9990000000000001,88.594,good,0.985,,,,230.518,good,0.986,56.26,good,0.997,59.126999999999995,good,0.9840000000000001,892
ACTN4,104.749,good,0.992,150.2,good,0.998,372.48400000000004,good,0.9990000000000001,352.839,good,0.9990000000000001,82.505,good,0.995,81.218,good,0.996,124.75,good,0.995,116.051,good,0.992,55.248000000000005,good,1.0,62.595,good,0.998,911
ACTR10,,,,138.358,weak,0.993,186.688,weak,0.9279999999999999,,,,,,,,,,101.978,weak,0.97,74.465,weak,0.971,49.946000000000005,good,0.9990000000000001,59.479,good,0.998,417
ACTR1A,121.125,weak,0.97,164.768,weak,0.941,433.353,good,0.9129999999999999,282.203,weak,0.965,104.935,weak,0.9209999999999999,116.565,good,0.85,117.71,weak,0.992,85.38799999999999,good,0.9840000000000001,57.773,good,0.9990000000000001,74.5,good,0.997,376
ACTR1B,,,,167.804,good,0.9420000000000001,449.083,good,0.9159999999999999,309.337,weak,0.96,,,,118.036,weak,0.8490000000000001,,,,,,,56.753,good,0.9940000000000001,77.449,good,0.997,376
ACTR2,121.711,good,0.993,167.648,good,0.9990000000000001,535.999,good,0.9990000000000001,476.384,good,0.9990000000000001,102.76100000000001,good,0.9640000000000001,135.024,good,0.98,98.131,good,0.9940000000000001,79.297,good,0.985,62.897,good,0.998,73.743,good,1.0,394
ACTR3,159.91299999999998,good,0.982,222.218,good,0.995,788.195,good,0.996,710.159,good,0.9990000000000001,87.398,good,0.9940000000000001,98.835,good,0.9890000000000001,116.75399999999999,good,0.993,90.736,good,0.986,66.51899999999999,good,0.998,85.492,good,0.9990000000000001,418
ACTR3B,,,,,,,,,,,,,,,,,,,,,,,,,38.363,weak,0.976,68.812,weak,0.9179999999999999,418
ACTR5,,,,69.797,weak,0.945,,,,150.333,weak,0.878,,,,,,,,,,55.059,weak,0.993,,,,,,,607
ACTR8,70.977,weak,0.871,,,,,,,,,,,,,,,,67.396,weak,0.929,,,,62.195,weak,0.963,70.324,weak,0.9990000000000001,624
ACYP2,157.886,weak,0.987,,,,,,,,,,,,,,,,95.15100000000001,weak,0.9209999999999999,125.54700000000001,weak,0.882,,,,,,,99
ADA,177.222,weak,0.914,,,,,,,,,,,,,,,,86.318,good,0.992,67.971,good,0.988,103.48299999999999,weak,0.976,127.48299999999999,good,0.966,363
ADAM10,40.87,weak,0.99,49.02,good,0.992,81.383,good,0.996,62.758,good,0.8640000000000001,23.315,good,0.961,22.936,good,0.941,40.339,good,0.98,19.438,good,0.961,31.414,good,0.909,31.451999999999998,good,0.961,748
ADAR,57.881,good,0.982,63.916000000000004,good,1.0,122.273,good,0.9990000000000001,101.844,good,0.9990000000000001,34.404,good,0.997,35.211,good,0.998,58.766000000000005,good,0.983,43.062,good,0.97,16.814,good,0.986,15.338,good,0.9940000000000001,1226
ADARB1,,,,244.5,weak,0.917,,,,237.495,weak,0.9,,,,,,,,,,,,,23.153000000000002,good,0.997,23.443,good,0.993,741
ADCK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.008,good,0.996,530
ADCK3,60.023,weak,0.988,55.916000000000004,good,0.995,44.492,weak,0.972,34.896,weak,0.983,31.894000000000002,good,0.997,37.083,good,0.997,35.191,weak,0.9940000000000001,28.031999999999996,weak,0.995,,,,,,,647
ADCK4,,,,,,,,,,,,,56.185,weak,0.9890000000000001,77.357,good,0.9990000000000001,,,,,,,36.010999999999996,weak,0.98,47.055,good,0.968,544
ADD1,107.41,good,0.995,95.221,good,0.9990000000000001,125.478,good,0.998,81.91,good,1.0,32.165,weak,0.92,44.162,weak,0.9209999999999999,60.022,weak,0.866,52.306999999999995,good,0.9740000000000001,43.278999999999996,good,1.0,61.396,good,0.9990000000000001,737
ADD2,,,,238.56099999999998,weak,0.993,,,,,,,,,,,,,,,,,,,42.982,good,1.0,54.735,good,1.0,726
ADD3,97.37299999999999,good,0.975,111.35799999999999,good,0.996,99.366,good,0.995,81.77600000000001,good,0.996,,,,,,,56.003,good,0.987,65.532,weak,0.9520000000000001,35.672,good,1.0,45.183,good,1.0,706
ADH5,214.356,good,0.972,266.816,good,0.998,471.586,good,0.853,404.42400000000004,good,0.996,,,,,,,,,,,,,96.05,good,0.9990000000000001,117.37200000000001,good,0.996,374
ADI1,,,,,,,,,,,,,484.925,weak,0.9890000000000001,736.915,weak,0.922,19.604,weak,0.9840000000000001,13.61,weak,0.9940000000000001,42.075,weak,0.996,45.228,weak,0.9540000000000001,179
ADK,337.645,good,0.919,582.047,good,0.992,,,,,,,1135.961,weak,0.9640000000000001,1690.8139999999999,weak,0.9229999999999999,63.328,good,0.995,56.727,good,0.992,62.006,weak,0.932,76.11399999999999,good,1.0,362
ADNP,41.956,good,0.9840000000000001,45.03,good,0.9990000000000001,,,,62.09,good,0.995,19.344,weak,1.0,19.833,good,0.9690000000000001,39.422,good,0.986,34.494,weak,0.992,20.648000000000003,good,0.9990000000000001,23.124000000000002,good,1.0,1102
ADO,90.461,weak,0.987,112.948,good,0.991,,,,235.14700000000002,good,0.972,,,,,,,61.663000000000004,weak,0.987,48.905,weak,0.988,48.496,good,0.998,58.301,good,0.9990000000000001,270
ADPGK,188.507,weak,0.9520000000000001,227.982,good,0.968,,,,306.249,good,0.894,,,,161.453,weak,0.9470000000000001,113.14,good,0.983,85.24600000000001,good,0.981,106.838,good,0.993,104.09899999999999,good,0.996,497
ADPRH,115.478,weak,0.9129999999999999,131.47299999999998,weak,0.963,,,,,,,,,,,,,,,,,,,63.045,good,0.996,75.939,good,1.0,357
ADPRHL2,,,,324.45599999999996,weak,0.9640000000000001,494.727,weak,0.915,362.332,weak,0.915,125.314,weak,0.91,,,,103.22200000000001,weak,0.9790000000000001,78.294,weak,0.9840000000000001,,,,,,,363
ADRBK1,51.114,good,0.991,52.378,good,0.9990000000000001,84.398,good,0.997,71.999,good,0.9990000000000001,,,,,,,73.446,good,0.981,61.495,good,0.976,29.265,good,1.0,34.051,good,0.9990000000000001,689
ADRBK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.908,weak,0.98,688
ADRM1,51.558,good,0.997,58.256,good,0.9990000000000001,157.827,good,0.995,126.704,weak,0.997,72.339,weak,0.9440000000000001,102.27799999999999,weak,0.988,54.61,good,0.991,50.248999999999995,good,0.9940000000000001,,,,,,,407
ADSL,76.012,good,0.966,122.40700000000001,good,0.998,,,,652.137,weak,0.912,,,,204.145,weak,0.995,169.204,weak,0.9690000000000001,124.34,good,0.971,88.941,good,0.966,107.756,good,0.9990000000000001,484
ADSS,48.253,weak,0.992,56.787,good,1.0,114.557,good,0.9990000000000001,100.82799999999999,good,0.9990000000000001,,,,,,,46.718999999999994,weak,0.958,55.723,good,0.99,48.403999999999996,good,0.998,54.974,good,0.998,456
AES,20.136,weak,0.98,,,,,,,16.479,weak,0.99,,,,,,,,,,,,,,,,,,,197
AFF1,19.869,weak,0.8859999999999999,,,,,,,,,,,,,,,,16.945999999999998,weak,0.956,16.997,weak,0.93,,,,,,,1210
AFF3,,,,15.811,weak,0.934,,,,,,,,,,,,,,,,,,,,,,,,,1226
AFF4,50.685,weak,0.91,34.830999999999996,weak,0.983,,,,49.836999999999996,weak,0.9990000000000001,,,,,,,,,,22.404,weak,0.976,13.394,weak,0.9009999999999999,17.741,good,0.879,1163
AFG3L2,155.036,good,0.975,191.951,good,0.9990000000000001,477.246,good,0.97,387.67199999999997,good,0.9179999999999999,147.709,good,0.996,162.02100000000002,good,0.9990000000000001,146.437,good,0.9940000000000001,101.646,good,0.9790000000000001,66.207,good,1.0,79.539,good,0.9990000000000001,797
AFM,,,,,,,,,,,,,21.447,good,0.9359999999999999,22.671999999999997,good,0.9740000000000001,,,,,,,,,,,,,599
AFTPH,26.404,good,0.9690000000000001,30.283,good,0.997,,,,35.805,weak,0.938,48.512,weak,0.998,,,,30.868000000000002,weak,0.948,,,,26.789,good,0.998,32.534,good,0.998,936
AGA,,,,,,,,,,,,,40.784,weak,0.987,53.985,good,0.847,,,,138.12,weak,0.9329999999999999,,,,133.566,weak,0.889,346
AGAP2,65.852,weak,0.9570000000000001,71.113,weak,0.996,115.016,good,0.993,100.815,good,0.996,,,,,,,32.647,weak,0.9690000000000001,90.708,weak,0.9159999999999999,29.609,good,1.0,36.903,good,0.9990000000000001,1192
AGAP3,,,,,,,,,,,,,,,,,,,28.746,weak,0.94,20.483,weak,0.991,34.934,good,0.998,42.31100000000001,good,1.0,875
AGFG1,51.261,weak,0.976,63.975,good,0.9940000000000001,160.374,weak,0.958,167.53,weak,0.966,46.20399999999999,weak,0.903,47.013000000000005,weak,0.94,78.21600000000001,weak,0.981,76.432,weak,0.9690000000000001,43.065,good,1.0,54.486999999999995,good,1.0,562
AGK,,,,236.33700000000002,weak,0.941,,,,,,,138.431,good,0.997,134.274,good,1.0,,,,,,,72.541,good,1.0,91.164,good,0.996,422
AGL,125.09299999999999,good,0.981,148.826,good,0.997,,,,,,,319.73400000000004,good,0.997,339.121,good,0.986,139.641,good,0.9179999999999999,,,,,,,69.57600000000001,good,1.0,1532
AGMAT,187.41299999999998,weak,0.987,,,,,,,,,,519.876,good,0.94,549.405,good,0.975,,,,,,,,,,,,,352
AGO1,,,,,,,,,,,,,,,,,,,118.016,weak,0.953,109.12700000000001,good,0.995,89.465,good,0.905,122.286,good,0.927,857
AGO2,88.887,weak,0.976,103.68799999999999,weak,0.948,518.07,good,0.909,216.90900000000002,weak,0.981,,,,,,,102.165,weak,0.94,93.527,weak,0.9359999999999999,82.281,weak,0.987,80.883,good,0.9790000000000001,859
AGO3,,,,274.658,weak,0.9129999999999999,,,,,,,,,,,,,,,,,,,,,,,,,860
